영화명,리뷰,word
택시운전사,펑펑 울었다 진짜 다시봐도 너무 마음이 아파,펑펑 울다 마음 아프다 
택시운전사,영화로 만든 것 자체가 감동이다,감동 
택시운전사,재미와 감동을 추구하다가 망한 영화,재미 감동 추구 망하다 
택시운전사,영화 제작 의도가 너무 뻔히 들어나서 불쾌하고 너무 작위적임,뻔하다 불쾌하다 작위 
명탐정 코난:진홍의 연가,많이 일본 쓰럽지만 엔딩곡이 참 좋아요  그리고 헤카 커플에게 조언 더 열정적으로,일본 좋다 헤카 커플 조언 열정 
명탐정 코난:진홍의 연가,일본 이름들  안들어 온다,일본 
명탐정 코난:진홍의 연가,범인을 찾아가는 추리도 추리지만 인물들관의 로맨스 역시 감상 포인트,범인 찾아가다 추리 추리 로맨스 포인트 
명탐정 코난:진홍의 연가,극장판 개봉해서 좋아요좋아요,극장판 좋다 좋다 
이모티: 더 무비,아 알록달록한 것이 귀엽구만,알록달록하다 귀엽다 
포크레인,미치인너마 어디 도망다니고 있냐 포크레인에 깔려 디져라 성폭행너마,미치다 도망 포크레인 성폭행 
포크레인,가해자를 피해자로 만드는 엄청난 대박인 영화 별0개,가해자 피해자 엄청나다 대박 
포크레인,처음부터 엔딩까지 긴장되면서 본 몇안되는 영화,긴장 안되다 
더 탱크,탱크 액션 정말 재밌어요,탱크 액션 재밌다 
더 탱크,러시아 특유의 국뽕만 빼면 좋은영화,러시아 특유 국뽕 좋다 
군함도,온 국민이 봤으면 하는 영화,국민 
군함도,류감독  마음 고생 많이 하셨겠네,마음 고생 
군함도,또 다시 봐야할 우리역사,야하다 역사 
군함도,알아야 할 역사를 다룬 영화,역사 다루다 
군함도,재미있었지만 너무 가볍지 않았나,재미있다 가볍다 
군함도,허술하긴한데 볼만하다 친일소문은 만들어낸듯,친일 소문 
슈퍼배드 3,갈 수록 질리는건 어쩔 수 없네,수록 질리다 
슈퍼배드 3,미니언 보는맛으로 보는 영화,미니 
슈퍼배드 3,너무재밌어요  그루 아그네스  마고 890마리의  미니언즈 가 재밌습니다,재밌다 그루 아그네스 마고 마리 미니 재밌다 
슈퍼배드 3,포스터에서 나온거랑 영화내용이 달라요,포스터 
슈퍼배드 3,흥미롭고 가족과 함께봐서 더흥미로움,흥미 가족 흥미 
슈퍼배드 3,미니언즈는 항상 옳다  아멘,미니 옳다 아멘 
슈퍼배드 3,어째 스토리가 기대했던거 보다 이하네요 스토리가 좀 억지스러워서 내용이 이해가 잘않돼네요,어째 스토리 기대하다 스토리 억지스럽다 
슈퍼배드 3,아이들에게 너무 인기있지만 전작들보다는 많이 아쉬움 무언가 억지로 이야기를 끌어낸 느낌,인기 아쉬움 억지로 
슈퍼배드 3,진짜  재미있다  감동  했습니다,재미있다 감동 
슈퍼배드 3,애들 데리고 갔다가 어른이 반하는 적재적소의 올드팝과 어른 동화의 만남,어른 반하다 적재적소 올드팝 어른 동화 만남 
슈퍼배드 3,시간 가는줄모름 음악 너무 좋아요,모름 음악 좋다 
슈퍼배드 3,애니메이션 의 발전을 보았다,애니메이션 발전 
송 투 송,뭔 쓰레기같은 영화야 이게,쓰레기 
송 투 송,중간에 영화보다가 나오긴 처음    최악의 영화다,화보 최악 
덩케르크,시간과 생존이 대립하는 놀란의 독창적 서사,생존 대립 놀란 독창 
덩케르크,하늘 땅 바다 살기위해 목숨을 바친다,하늘 바다 살기 목숨 바치다 
덩케르크,감동적이고 놀랍네요 구출작전이다보니 전쟁부분은 거의없음 긴장감도 부족,감동 구출 작전 전쟁 긴장감 부족 
덩케르크,촬영기법이 아깝다 내용은 볼거없고 별감흥도  전투씬은 거이 없고 도망가는 내용이라  굳이 영화화 필요했을까,기법 아깝다 전투씬 도망가다 필요하다 
덩케르크,모두를 위한 위대한 선택,위대하다 선택 
덩케르크,소리없는 아우성으로 수십만 대군의 목숨이 달린 전장의 일주일을 돌파하는 장엄한 서사,소리 아우성 대군 목숨 달리다 전장 돌파 장엄하다 
덩케르크,놀란은역시 천재인걸 다시확인한영화,놀란 천재 확인 
덩케르크,역시 뛰어난 연출 그러나 조금 늘어진다,뛰어나다 늘어지다 
덩케르크,역사적 내용을 알고 봐서인지 재미는 그닥,역사 인지 재미 그닥 
덩케르크,보이지않는 긴장감이 느껴지는 영화,긴장감 느껴지다 
덩케르크,영상미와 전개는 좋았지만 다소 영국 중심적인 포인트가 많이 보였다,좋다 영국 중심 포인트 
덩케르크,우리나라는 가끔 이상하게 열풍이 부는 거 같다 고증은 철저 했는지 몰라도 재미는 없는데,우리나라 이상하다 열풍 고증 철저 재미 
덩케르크,크리스토퍼 놀란이 오직 인간에 집중했을 때 벌어지는 경이로움,크리스토퍼 놀란 인간 집중 경이 
극장판 짱구는 못말려 : 습격!! 외계인 덩덩이,뭐냐 감동도 없고 재미도 없고,감동 재미 
극장판 짱구는 못말려 : 습격!! 외계인 덩덩이,처음부터 재밌어 보이길래 계속 졸라 보러갔는데 예상보다 더 빵빵 터져서 별10개,재밌다 졸라 예상 터지다 
극장판 짱구는 못말려 : 습격!! 외계인 덩덩이,덩덩이 아빠가 그러고도 덩덩이 아빠냐,아빠 아빠 
극장판 짱구는 못말려 : 습격!! 외계인 덩덩이,짱구는 항상 유치하지않고 재밌다,짱구 유치하다 재밌다 
위시 어폰,소원을 들어주는 저주와 성장물을 동시에 담을려고한건 알겠지만 너무 지루하다,소원 들어주다 저주 장물 담다 지루하다 
위시 어폰,고어보다 진짜 라이트한 호러 무비를 원한다면 굿초이스b,고어 라이트 호러 초이스 
프란츠,다 거짓말하고있구만 전쟁도 사랑도  낚였네 영화에,거짓말 전쟁 사랑 낚였 
프란츠,시종일관 지루하고  답답하다,시종일관 지루하다 답답하다 
프란츠,좋은 영화는 우리의 삶을 풍요롭게 한다,좋다 풍요롭 
우리를 침범하는 것들,거칠지도 않고 뜨겁지도 않았던 엔딩,거치다 뜨겁다 
불온한 당신,애미애비가 없으면 인권을 논할 수 없는 대한민국,밉다 인권 대한민국 
불온한 당신,볼수 있는 극장이 너무 적어 아쉽네요 그래도 기대하고 있습니다,아쉽다 기대하다 
100미터,좀 지루해져가는데 마지막에서,지루하다 마지막 
100미터,완주할 때 눈물이 나는 영화,완주 눈물 
47 미터,짧은 시간이 전개를 흐려,짧다 흐리다 
47 미터,킬링타임용으로 나쁘지 않음 후반 갈수록 좀 더 낫다,킬링타임 나쁘다 
47 미터,전작으로 높혀 놓은 기대치를 완전히 무너뜨렸다,대치 완전하다 무너뜨렸다 
47 미터,보면서 계속 눈 가리고 봤다,가리다 
내가 죽기 전에 가장 듣고 싶은 말,눈물났어요  좋은 영화에요,눈물나다 좋다 
내가 죽기 전에 가장 듣고 싶은 말,젊음이란 어쩌면 삶의 한가운데에서 실패할 유일한 권리,젊음 한가운데 실패하다 유일하다 권리 
내가 죽기 전에 가장 듣고 싶은 말,내겐 두고두고 다시보고픈 인생영화,두고두고 시보 인생 
내가 죽기 전에 가장 듣고 싶은 말,중반즈음 부터는 감동적이고 재밌었는데 초반이 조금 지루했어요,감동 재밌다 지루하다 
다이노소어 아일랜드,5개기대감 실망시키지마세요,대감 실망 
카3: 새로운 도전,개인적으로 1편이 가장 재미있었다,개인 재미있다 
카3: 새로운 도전,굴리고 내동댕이쳐도 나는 히어로다를 표현한 영화,굴리 히어로 다르다 
카3: 새로운 도전,맥퀸의 은퇴  그리고 마지막,맥퀸 은퇴 마지막 
카3: 새로운 도전,재밌기는 한대 마지막 결론이 참 씁쓸하네요 애들이야 별 상관없겠지만,재밌다 마지막 씁쓸하다 상관없다 
카3: 새로운 도전,역시 믿고보는 픽사 진짜 카시리즈중에 젤 좋던데 쪼아,믿다 픽사 카시 리즈중 좋다 
카3: 새로운 도전,의인화된   사물에  이토록 감정이입  한적이 없었다  뭉클하게 재밌게 봤다  최고다,의인화 사물 감정이입 한적 뭉클하다 재밌다 최고다 
예수는 역사다,불신자가 예수님을 영접하는 과정을 진솔하게 다룬 영화,불신 예수님 영접 진솔하다 다루다 
예수는 역사다,교회 오빠가 교회  다니는 이유,교회 오빠 교회 
예수는 역사다,빨갱이  무리들이  당근  평점  안주겠지,빨갱이 무리 당근 
예수는 역사다,사실적 탄탄한 스토리와 실존인물이 배경이 된 안정감 있는 영화,탄탄하다 스토리 실존 안정감 
예수는 역사다,우리가 사는세상 다 운명이다,세상 운명 
예수는 역사다,나를 믿는 자는 죽어도 살겠고 무릇 살아서 믿는자는 영원히 죽지  않으리라,믿다 죽다 무릇 믿다 영원하다 죽지 
예수는 역사다,그가 누우셨던 곳을 보라 그리하면 그가 보일 것이다,울다 리하 
예수는 역사다,예수는 신이 아니다 역사일 뿐이다,예수 역사 
예수는 역사다,예수님 많은 생각이들게하는분,예수님 
아메리칸 허니: 방황하는 별의 노래,Ryan McGinley가 인스타그램을 한다면,인스타그램 
아메리칸 허니: 방황하는 별의 노래,벌거벗은 인생에 꿈이라는 실오라기 하나,벌겋다 벗다 인생 실오라기 
아메리칸 허니: 방황하는 별의 노래,미국은 정말 가난한 나라,미국 가난하다 나라 
블랙 쉐도우,돈이 넘쳐나니 누구나 감독을 하는거야,넘치다 
블랙 쉐도우,훙미를 끌지 못하는 이야기가 지루하게 전개되는군,훙미 지루하다 
블랙 쉐도우,5분만봐도 허접한것을 안다 짜증난다,짜증나다 
블랙 쉐도우,조나단리스마이어스 오랫만에 출연하는군,나단 어스 
블랙 쉐도우,연기못하는 엑스트라와 감독에 어설픈 연출력이 진국인영화임,엑스트라 어설프다 진국 
파밍 보이즈,일하면서 세계를 여행하며 농촌 체험하는 다큐,세계 여행 농촌 체험 다큐 
파밍 보이즈,세계여행을 원하는 모든 청춘들의 버킷리스트와 다를 바 없지 않을까 싶었다,세계 여행 청춘 버킷리스트 다르다 
파밍 보이즈,16년도 국가재정운용계획에서 ,국가 재정 운용 계획 
파밍 보이즈,열심히사는 유쾌한 청춘들의 모습이 보기 좋았습니다,유쾌하다 청춘 좋다 
올 리브 올리브,이영화를 본 후 팔레스타인과 이스라엘에 대한 역사를 찾아보는 시간이 되었다 기대이상의 영화와 영상이었다,팔레스타인 이스라엘 역사 찾아보다 
플립,그 사람의 내면을 사랑해야 진짜 사랑,내면 사랑 사랑 
플립,주인공 지금은 역변했지만 잘생김 분위기가 잔잔하고 풋내나는 게 꼭 나른한 오후 기분 좋은 영화 한 편 보는 느낌임,변하다 잘생기다 분위기 잔잔하다 풋내 나른하다 오후 기분 좋다 
플립,잔잔한거 좋아하시면 꼭 보셔요,잔잔하다 좋아하다 
플립,주인공들이 배역에 너무 잘 어울리네요,어울리다 
플립,풋풋한 사랑 얘기 잘 보고 갑니다 카카오에서요,풋풋하다 사랑 카카오 
플립,올디즈 벗 구디즈 감성 충만 첫사랑,감성 충만 첫사랑 
플립,와 난 모르겠다 증말 이걸 참 모르겠다,증말 
플립,상큼하고 깔끔한 가족영화,상큼 깔끔하다 가족영화 
플립,중고생이 있다면 가족영화로 최고,중고생 가족영화 최고 
플립,내 자식들에게 꼭 보여주고싶은 영화,자식 
플립,말이 필요없음 꼭 보시길,필요없다 
플립,나 어릴적이 생각나는 풋풋하고 사랑스러운 영화,어리다 생각나다 풋풋하다 사랑스럽다 
플립,90분이 이렇게 짧은 줄 몰랐다,짧다 
플립,풋풋한 모습들이 감성을 자극한다,풋풋하다 감성 자극 
내 사랑,보는 동안 영혼을 맑게  해 주는 영화,영혼 맑다 
내 사랑,바닷마을 쓸쓸한 인연을 보듬는 알록달록 코티지 한 채,마을 쓸쓸하다 인연 보듬다 알록달록 
그 후,불륜이 사람을 얼마나 찌질하게 만들 수 있는지 진짜 잘 잡아낸다 웃기기도 하고,불륜 찌질하다 잡아내다 웃기 기도 
그 후,세 번 웃었으나 약발이 떨어진 느낌,웃다 떨어지다 
그 후,김새벽 너무연기잘해요 홍상수영화가 세상에서 제일로 연기하기가힘든데 모두 잘해서 보는내내 감탄했네요 억지스러운 대사몇개만빼면,새벽 홍상수 세상 감탄 억지스럽다 
그 후,3자의 시점이 스크린속으로 들어가 아름이 말하고 있다,자의 스크린 들어가다 아름이 
그 후,참 거지 같고 그지 같은 걸레 같은 영화,거지 걸레 
베를린 신드롬,뻔한 내용 및 결말에 결국 생각이 남는 건 여주의 아름다운 몸매,뻔하다 결말 아름답다 몸매 
베를린 신드롬,다소 감각적인 분위기의 서양판 완전한 사육,감각 분위기 서양 완전하다 사육 
베를린 신드롬,낯선 남자의 집에 감금되다,낯선 남자 감금 
재꽃,위로 다음에는 희망이 있었으면 한다,위로 희망이 
뮤지컬 쉬 러브즈 미,완전    재밋고    또 보도 싶은  영화   노래  다들  넘 잘해요,재밌다 보도 노래 
스파이더맨: 홈 커밍,아 토미 귀여워 미치겠다 지구 뿌셔라,토미 귀엽다 미치다 지구 뿌셔 
스파이더맨: 홈 커밍,아이디 그래  라는  놈   땜에 10점준다,아이디 
스파이더맨: 홈 커밍,토비맥과이어 이외엔 피터파커로 인정하기 싫었는데  이젠 널 인정하려해,토비 맥과이어 피터 파커 인정 싫다 인정 
스파이더맨: 홈 커밍,앞으로 잘 부탁해 스파이디,부탁 스파이디 
스파이더맨: 홈 커밍,노동계급 히어로 성장드라마,노동계 히어로 성장 
스파이더맨: 홈 커밍,스파이더맨 시리즈중 최고인듯하다,스파이더맨 시리즈 최고 
스파이더맨: 홈 커밍,찌질한 스파이더맨 스파이더맨중 최악  피터파커 나올때마다 짜증   그리고 전혀 안어울리는 배우,찌질하다 스파이더맨 스파이더맨 최악 피터 파커 짜증 어울리다 
스파이더맨: 홈 커밍,못말리는 람보 같은 영화임,말리다 람보 
스파이더맨: 홈 커밍,정말 안어울리는 스파이더맨이었다,어울리다 스파이더맨 
옥자,아이의 시선으로 본 자본주의,시선 자본주의 
옥자,비건이 되야하나 고민하게 된다 넘 슬프다,비건 고민 슬프다 
옥자,희봉옹은 봉감독의 마이클 케인,마이클 케인 
옥자,메세지 전달만으로도 충분한 영화,메세지 전달 충분하다 
옥자,봉준호 감독님 영화중 제일 재미없다,봉준호 재미없다 
옥자,동물로 볼것이냐생명체로 볼것이냐,동물 생명체 
옥자,아동용이라고 말을 해 주든가,아동 
옥자,실제로는 없는 생명체를 이용해 인간의 끝 없는 욕심을 안전하게 비판한다,생명체 이용 인간 욕심 안전하다 비판 
부니베어: 로거빅 컴백홈 프로젝트,스케일은 작지만 단순한게   매력이고   소소한 감동을준다,스케일 단순하다 매력 소소하다 감동 
박열,항일운동은 당연한 것임을 알려준 박열의 기개에 감동 받음,항일 운동 당연하다 것임 박열 기개 감동 
박열,미치도록 고맙고 미치도록 일본에 잔인함에 피가 꺼꾸로 쏫는다 제발제발 단순한 무역전쟁이라 착각하지 말자 이건 전쟁이다,미치다 고맙다 미치다 일본 잔인함 단순하다 무역 전쟁 착각 전쟁 
박열,감사합니다 잠을 잘 못잤었는데 잘 자게 됐어요,감사하다 못자다 자게 
박열,넋나가고 얼빠진 쓰레기만도 못한 것들,얼빠지다 쓰레기 
박열,역사를 잊은 민족에겐 미래는 없다,역사 잊다 민족 미래 
박열,참을 수 없는 일제의 가벼움,일제 가볍다 
박열,치열했던 아나키스트 박열의 삶을 잘 그려냈다,치열하다 아나키스트 박열 그리다 
리얼,염력 다음으로 제 인생영화에요,염력 인생 
리얼,설리 추모를 위해 1점이라도 드립니다,설리 추모 
리얼,한국영화계의 최악의 망작을 논할 최악의 괴작,한국 최악 망작 최악 괴작 
리얼,대충 보니깐 파이트클럽 어설프게 따라했네,대충 파이트클럽 어설프다 따르다 
지랄발광 17세,여자주인공 연기 잘하네요,여자 
지랄발광 17세,감동적임  한국이 나오는데  감독이 한국과 연관이 있나,감동 한국 한국 연관 
지랄발광 17세,처음에는 재미있어지는데 나중에 가서는 다큐멘터리로 가고 앞뒤 극흐름이 부자련스러웠음,재미있다 다큐멘터리 
지랄발광 17세,돌고 또 돌아도 결국 가족,가족 
시칠리아 햇빛아래,여자 얼굴이 왜 저리 평범하냐,여자 평범하다 
시칠리아 햇빛아래,여자들 영화 남자들이 보면 돌아버림,여자 남자 버리다 
시칠리아 햇빛아래,이준기님 꼭 볼께요 근데 언제 하나요,이준기 
시칠리아 햇빛아래,첫 중국진출 영화 믿고보는 배우 이준기 홧팅 기대됩니다,중국 진출 믿다 이준기 홧팅 기대 
시칠리아 햇빛아래,이준기배우님의 중국합작영화 국경을 넘어선 애절한 사랑이야기 많이 기대 됩니다,이준기 중국 합작 국경 넘어서다 애절하다 사랑 기대 
좀비 아웃브레이크,우리모두 감독이 될수있다는 희망을 준영화,희망 준영 
더 서클,감시자가 되고 싶어 하면서는 감시의 대상이 되고 싶지는 않는 이중성,감시자 감시 대상 이중성 
더 서클,피상적으로 문제 제기에만 의의를 두며 안일하다,피상 문제 제기 의의 안일하다 
더 서클,facebook의 실체를 보는 듯,실체 
더 서클,전개와 결말이 똑같은 지루하기 짝이 없는 c급,결말 똑같다 지루하다 
더 서클,영화 짜임새가 별로 없어 그냥 유튜브 10분짜리 동영상으로도 충분할듯 하다,짜임새 별로 동영상 충분하다 
더 서클,진부한 내용이지만 마지막 반전은 조금 신선한데,진부하다 마지막 반전 신선하다 
더 서클,잘 풀어봤으면 잼날꺼같은 주제인데  굉장히 루즈함,풀다 날다 굉장하다 루즈 
다크 하우스,네티즌평점이 좋아서봤는데 영화보는내내 수명단축 시간아깝고 쓰레기영화는처음이다  네이버평점 믿지말자,네티즌 좋다 수명 단축 아깝다 쓰레기 믿다 
다크 하우스,우리 집 개 하루종일 촬영해놓고 영화관에다 틀어도 이렇게 재미없진 않음,하루 재미없다 
다크 하우스,끝까지 졸음을 참고본 나에게10점,졸음 참고 
다크 하우스,쏘우 감독 영화  기대된다,쏘우 기대 
좋아하게 되는 그 순간을 ~고백실행위원회~,엔딩이 좀 애매해서 9점 준다 그래도 내용은 볼만하다,애매하다 
파리의 밤이 열리면,파리만 날리는 내용이므로 파리가 날리는 밤이오면으로 제목이 수정되야합니다,파리 날리다 파리 날리다 수정 야하다 
파리의 밤이 열리면,제목에 속지마세요 그냥 감독겸주연 남자배우 혼자  정신사납게 배회하는 내용입니다,속지 남자배우 정신 사납다 배회 
파리의 밤이 열리면,정신없지만 즐거운 파리의 하룻밤,정신 즐겁다 파리 하룻밤 
파란나비효과,재난이 닥치는 곳에서 피어나는 각성과 연대,재난 닥치다 각성 연대 
트랜스포머: 최후의 기사,트랜스포머는 3편이후로 망한 영화네요,트랜스포머 망하다 
트랜스포머: 최후의 기사,게임시네마틱 좋아하시는 분들 추천,게임 시네마 좋아하다 추천 
트랜스포머: 최후의 기사,이제 트랜스포머는 그만 나와도 될듯,트랜스포머 
트랜스포머: 최후의 기사,안소니 홉킨스로도 이런 쓰레기 영화를 만들 수 있다니,안소니 홉킨스 쓰레기 
트랜스포머: 최후의 기사,아주 재미있게 잘  보았습니다,재미있다 
트랜스포머: 최후의 기사,정신사나워서 적응이 안되는 영화,정신 사납다 적응 안되다 
트랜스포머: 최후의 기사,감동도 없고 메세지도 없고 진짜 드럽게 재미없다,감동 메세지 드럽다 재미없다 
트랜스포머: 최후의 기사,변신장면도 식상해식상해진 영화에 짱개까지 합세하니   시끄럽고정신없고 잠만오네 시리즈  그만 만들어라,변신 식상하다 식상하다 합세 시끄럽다 정신 만오 시리즈 
트랜스포머: 최후의 기사,스케일 아주 커지고 볼거리가 많다,스케일 커지다 볼거리 
트랜스포머: 최후의 기사,더이상은  제발  만들지말아주세요,이상은 
트랜스포머: 최후의 기사,역사 끼워맞춘거는 어이없지만스케일은 갑,역사 끼우다 맞추다 어이없다 스케일 
트랜스포머: 최후의 기사,수습이 불가할 정도로 막나가는 스토리,수습 불가하다 스토리 
트랜스포머: 최후의 기사,갠적으로 트랜스포머 팬이라서 넘 조앗음,트랜스포머 좋다 
하루,변요한 오버스러운 연기만 빼면 괜찮다,요한 오버 괜찮다 
하루,딸래미 말 더럽게 안들어,래미 더럽다 
하루,특별한 창의적인 시나리오,특별하다 창의 
하루,연기와 연출이 살린 영화,살리다 
하루,소재에 너무 속박되지 않았나,속박 
하루,크루즈   엣지 오브 투모로우  카피했냐,크루즈 투모로우 카피 
하루,엣지 오브 투모로우가 훨나음,투모로우 훨나음 
하루,잘 봤습니다 평점이 좀 낮아서 10점 드립니다,낮다 
하루,흥미로운 설정 딱 거기까지,흥미롭다 
하루,한국형 루프물 시도는 좋았다,한국 루프 좋다 
하루,변요한 과잉연기 보기불편했음,요한 과잉 불편하다 
꼬마참새 리차드: 아프리카 원정대,헐 새 주제에 겁나 귀요미 하네,헐다 겁나다 귀요미 
나의 붉은고래,아름다운 배경과 이야기 그리고 행복한 결말 마음에 든다,아름답다 행복하다 결말 마음 
나의 붉은고래,어쩐지 중국 한국 일본합작품이엇네,중국 한국 엇네 
나의 붉은고래,추의 짝사랑으로 완성된 춘의 사랑,짝사랑 완성 사랑 
나의 붉은고래,영상미는  뛰어나나  스토리가  밋밋하고 지루하다 이런 각본에  투자한  돈이아깝다,뛰어나다 스토리 밋밋하다 지루하다 아깝다 
나의 붉은고래,영상미도 아름답고 스토리도 몽환적인 기분이 드는 슬픈 사랑 이야기,아름답다 스토리 몽환 기분 슬프다 사랑 
나의 붉은고래,진짜 이거 보고 펑펑 울었어요 엄청 강추,펑펑 울다 강추 
나의 붉은고래,스토리 작화 아쉬울거 없었어요,스토리 작화 아쉽다 
나의 붉은고래,극장에서 예고편 봤는데 개핵욘나뤼존잼일거같았다 엄청 기대중임 N차 뛸거임 영상미 너무 좋앙,개핵 중임 뛰다 좋다 
나의 붉은고래,보면 행복해집니다 어효효효호,행복하다 어효효효호 
꼬마돼지 베이브의 대모험,어린아이가 보기 좋겟네요,어리다 좋다 
엘르,인간  본성이 적나라하고도 불편하게 잘 묘사,인간 본성 적나라 불편하다 묘사 
엘르,불편하지도 난해하지도 않다 관점을 전복시키면 오히려 웃음이 난다,불편하다 난해하다 전복 웃음 
엘르,아무나 하네케처럼 만들 수 없다는 증거,하네케 증거 
엘르,누구보다 부드럽고 누구보다 견고한 버호벤의 터치,부드럽다 견고하다 버호벤 터치 
엘르,기대를 철저히 배신 당하며 느끼는 마조히즘적 쾌락,기대 철저하다 배신 당하다 느끼다 마조히즘 쾌락 
엘르,선과 악이라는 진부한 망상이 있다,진부하다 망상 
중독노래방,김나미 배우 예전 연극무대에서 봤을때부터 정말 연기가 살아있다,김나미 무대 
중독노래방,조난자들처럼은근중독성있구재밌네요조난자들도추천요,난자 중독 재밌다 요조 난자 추천 
중독노래방,기대하지도 않았는데 재미있게 보았읍니다 의외의 영화 강추,기대하다 재미있다 의외 강추 
중독노래방,맨밥만 먹어도 맛있는 영화,맛있다 
중독노래방,독특한 소재의 영화이다추천하고싶은 영화,독특하다 추천 
중독노래방,이거 갠찬내여 이문식연기 잘하십니다,갠차다 이문식 
청춘 합창단 - 또 하나의 꿈,예고편만 봐도 너무 감동적입니다 얼른보고싶어요,감동 얼른 
청춘 합창단 - 또 하나의 꿈,많이 기다린 영화입니다 감동의 기대가 큽니다,기다리다 감동 기대 
청춘 합창단 - 또 하나의 꿈,모든 세대를 깨우는 시니어 뮤지컬  감동의 또하나의 꿈  청춘합창단,세대 깨우다 시니어 뮤지컬 감동 청춘 합창단 
더 바,감염보다 끔찍한 오물의 악취에 허우적,감염 끔찍하다 오물 악취 
더 바,극단적인 생존 본능만큼 강한 건 없다,극단 생존 본능 강하다 
더 바,하수구에 탈출한 여주인공 시민들 아무표정없이생활하는 모습에 맨붕,하수 탈출 시민 표정 생활 맨붕 
더 바,재밌는데싱거움 조금만짰어도,재밌다 싱겁다 
더 바,억지와 비약으로대충 뭉게고 넘어가기,억지 비약 대충 뭉게 넘어가다 
더 바,살아남은 여자빼고 다 이상해 캐릭터들이,살아나다 여자 이상하다 
더 바,억지도 이런 억지가 없다,억지 억지 
더 바,초반 부터의 긴장감을 계속 이어나가다,긴장감 
더 바,초중반부의 미친 진행이 중반부 부터 맥이 풀리다 병맛 엔딩을 선사한다,부의 미치다 풀리다 병맛 선사 
킹 오브 프리즘 - 프라이드 더 히어로,세찬오빠의 프리덤 듣고 새로운 세상에 눈을 뜸,세찬 프리덤 새롭다 세상 
킹 오브 프리즘 - 프라이드 더 히어로,시우오빠보고 삶의 광명을 찾음,오빠 광명 
악녀,졸라재밌네  김옥빈 액션씬  개쩐다,졸라 재밌다 김옥빈 액션 
악녀,액션만 좋지 내용과 결말은 그지 같음,액션 좋다 결말 
악녀,오프닝  시퀀스는 좋음 멜로씬  너무 오글거림 남주는 연기를 못하는것도 아닌데 참 안어울린다 그래도 액션은 잘찍었음,오프닝 시퀀스 좋다 멜로 오글거리다 어울리다 액션 
악녀,마녀는 재밌는데 이 영화는 너무 정도가 없다,마녀 재밌다 
심야식당 2,저는 이정도가 적당한 것 같네요,적당하다 
심야식당 2,한결 같은 만족감을 주는 잔잔함,한결 만족감 잔잔하다 
심야식당 2,각 이야기에 담긴 음식이야기가  좋았습니디,음식 좋다 
심야식당 2,행복하게 사는 방법 행복하게 살면 된다,행복하다 방법 행복하다 
용순,배우들 연기나 영상미는 돋보였지만,돋보이다 
용순,예상치않은 수작이네 이정도각이면 외국영화제 연출이나 각본상 정도는 받을수준,수작 외국 
용순,사춘기 소녀의 치기어린 집착은 지나침을 모른다,사춘기 소녀 치기 어리다 집착 지나치다 
용순,코믹한 설정을 제대로 살려낸 연출과 연기가 돋보이는군,코믹 살리다 돋보이다 
용순,나의 성장을 위해 남의 피를 흘리는 이기적인 성장통,성장 흘리다 기적 
용순,나의 성장을 위해 다른 이의 피를 흘리는 이기적 성장통,성장 이의 흘리다 
용순,이기적인 인간 스트래스 받는 영화,기적 인간 스트래스 
용순,전혀 그럴듯 하지 않은 스토리,스토리 
나는 고양이로소이다,미안해 사랑해 세상에서 제일착한 아가들,미안하다 사랑 세상 아가 
나는 고양이로소이다,한국 참 미개하다 언제쯤 생명경시풍조가 사라질지 자신보다 약하면 무조건 짓밟고보는 약자혐오 지긋지긋하다,한국 미개하다 생명 경시 조가 사라지다 약하다 약자 혐오 지긋지긋하다 
나는 고양이로소이다,우리나라도 고양이와 공존하는 나라가 되었으면 좋겠네요,우리나라 고양이 공존 나라 좋다 
나는 고양이로소이다,우리도 공존과 공생 할 수 있다,공존 공생 
나는 고양이로소이다,같은 지구에 사는 생명체라는걸 잊지않게 해주는 영화,지구 생명체 잊다 
델타 보이즈,지금까지 내인생에  최고의 영화,인생 최고 
델타 보이즈,현실은 너무 극적이어서 낯설다,현실 극적 낯설다 
델타 보이즈,등장인물들의 개성이 뚜렷한 웃픈 영화,등장인물 개성 뚜렷하다 웃픈 
델타 보이즈,정말 재밌게 잘봤어요 배우들의 연기 정말좋았어요,재밌다 좋다 
델타 보이즈,2017년 보았던 영화 중 가장 울림을 준 영화,울림 
8인의 수상한 신사들,일본 고령화사회를 향한 기타노 다케시의 유머,일본 고령화사회 다케시 유머 
8인의 수상한 신사들,사라져가는 가치들에 대한 헌정,사라지다 가치 
8인의 수상한 신사들,기타노 타케시 특유의 폭력이 부족하지만 킬링타임용 코미디로는 적절하군,타케시 특유 폭력 부족하다 킬링타임 코미디 적절하다 
바람의 춤꾼,그대에게 나는 지금 먼 산이오,그대 산이 
바람의 춤꾼,질곡진 역사때문 질곡진 인생으로 살아가는 삶에 감동했습니다,곡진 역사 곡진 인생 살아가다 감동 
베이블레이드 버스트 갓 : 갓 발키리의 탄생,갓베이블레이드 극장판 짱짱맨,블레이드 극장판 짱짱맨 
파워배틀 와치카: 와치가면의 역습,조카들이 1펴도 환장해서 보던데 가야겠네요,조카 펴다 환장하다 
원더 우먼,원작을 무식한 영화 니 마음대로 만든 영화,무식하다 
원더 우먼,원더우먼의 상징은 흔들리는 가슴인데 갤 가돗은 너무 작아,원더우먼 상징 흔들리다 
